Time 	Temperature (deg C) 	Setpoint (deg C) 	Duty Cycle (percent) 	H1 (Volts) 	H2 (Volts) 	H3 (Volts) 	H4 (Volts) 	H5 (Volts) 	TimeMATLAB 	
14:21:44 	2.450000e+01 	0 	0 	225 	228 	228 	21 	21 	7.364576e+05
14:21:45 	2.450000e+01 	0 	0 	226 	228 	228 	21 	22 	7.364576e+05
14:21:46 	2.450000e+01 	0 	0 	225 	228 	228 	21 	21 	7.364576e+05
14:21:47 	2.450000e+01 	0 	0 	226 	228 	228 	21 	21 	7.364576e+05
14:21:48 	2.450000e+01 	0 	0 	226 	228 	227 	21 	21 	7.364576e+05
14:21:49 	2.450000e+01 	0 	0 	226 	228 	228 	21 	20 	7.364576e+05
14:21:50 	2.450000e+01 	0 	0 	226 	228 	228 	22 	21 	7.364576e+05
14:21:51 	2.450000e+01 	0 	0 	225 	228 	228 	21 	21 	7.364576e+05
14:21:52 	2.450000e+01 	0 	0 	226 	228 	228 	21 	21 	7.364576e+05
14:21:53 	2.450000e+01 	0 	0 	225 	228 	228 	21 	21 	7.364576e+05
14:21:54 	2.450000e+01 	0 	0 	226 	228 	228 	21 	21 	7.364576e+05
14:21:57 	2.450000e+01 	0 	0 	226 	227 	228 	21 	21 	7.364576e+05
14:21:57 	2.450000e+01 	0 	0 	226 	228 	228 	21 	21 	7.364576e+05
14:21:58 	2.450000e+01 	0 	0 	225 	228 	228 	21 	21 	7.364576e+05
14:21:58 	2.450000e+01 	0 	0 	227 	227 	228 	21 	21 	7.364576e+05
14:21:59 	2.450000e+01 	0 	0 	228 	227 	228 	21 	21 	7.364576e+05
14:22:00 	2.450000e+01 	0 	0 	227 	227 	228 	21 	21 	7.364576e+05
14:22:01 	2.450000e+01 	0 	0 	228 	228 	228 	21 	22 	7.364576e+05
14:22:02 	2.450000e+01 	0 	0 	226 	229 	228 	21 	21 	7.364576e+05
14:22:03 	2.450000e+01 	0 	0 	226 	229 	228 	21 	21 	7.364576e+05
14:22:04 	2.450000e+01 	0 	0 	226 	229 	228 	21 	21 	7.364576e+05
14:22:05 	2.450000e+01 	0 	0 	225 	228 	227 	21 	22 	7.364576e+05
14:22:06 	2.450000e+01 	0 	0 	225 	229 	228 	21 	21 	7.364576e+05
14:22:08 	2.450000e+01 	0 	0 	224 	229 	228 	21 	21 	7.364576e+05
14:22:08 	2.450000e+01 	0 	0 	224 	229 	228 	21 	21 	7.364576e+05
14:22:09 	2.450000e+01 	0 	0 	223 	229 	228 	21 	21 	7.364576e+05
14:22:14 	2.450000e+01 	0 	0 	224 	228 	228 	21 	21 	7.364576e+05
14:22:15 	2.450000e+01 	0 	0 	223 	229 	228 	21 	21 	7.364576e+05
14:22:15 	2.450000e+01 	0 	0 	224 	229 	228 	21 	21 	7.364576e+05
14:22:16 	2.450000e+01 	0 	0 	224 	229 	228 	21 	21 	7.364576e+05
14:22:18 	2.450000e+01 	7.700000e-01 	0 	224 	229 	228 	21 	21 	7.364576e+05
14:22:18 	2.450000e+01 	7.900000e-01 	0 	224 	228 	228 	21 	21 	7.364576e+05
14:22:19 	2.450000e+01 	8.100000e-01 	0 	223 	229 	228 	21 	21 	7.364576e+05
14:22:19 	2.450000e+01 	8.200000e-01 	0 	224 	229 	228 	21 	21 	7.364576e+05
